Name,Address,Cost,dataLat,dataLng,Localized
Yarkon 78,Yarkon 79,35,34.7672332,32.0769612,Center
Klisher,Mohliber 18,85,34.768681,32.0659147,Center
Gibeon,Arnia 32,90,34.7862697,32.0706076,Center
Habarzel 15,Habarzel 16,85,34.8378329,32.1078246,Center
The Hasmoneans,454 Street,75,34.786733,32.0692075,Center
Dubnov,Dubnov 4,24,34.7834942,32.0741272,Center
Reading West,Rukech 7,24,34.7785199,32.0988724,North
Economy,George Wise 16,40,34.8428506,32.0702546,North
The Station,65 Hemerd corner Koipman Yehezkel,24,34.7610533,32.0600438,South
Rebellion ,The rebellion 32,24,34.7648474,32.0645403,South
